,person_id,comp_f_min_score,comp_f_min_decile,comp_f_max_score,comp_f_max_decile,comp_r_min_score,comp_r_min_decile,comp_r_max_score,comp_r_max_decile,comp_v_min_score,comp_v_min_decile,comp_v_max_score,comp_v_max_decile
1538,1539,11,1,11,1,-1.64,2,-1.64,2,-2.87,2,-2.87,2
1539,1540,15,1,15,1,-0.5,5,-0.5,5,-1.68,6,-1.68,6
1540,1541,35,10,35,10,1.44,10,1.44,10,0.16,10,0.16,10
1541,1542,17,2,17,2,-0.12,7,-0.12,7,-2.59,2,-2.59,2
1542,1543,23,5,23,5,0.83,10,0.83,10,-0.81,9,-0.81,9
1543,1544,19,3,19,3,-0.27,6,-0.27,6,-2.58,2,-2.58,2
1544,1545,15,1,15,1,-0.46,5,-0.46,5,-2.11,4,-2.11,4
1545,1546,18,3,18,3,-0.8,3,-0.8,3,-2.77,2,-2.77,2
1546,1547,19,3,19,3,-1.33,2,-1.33,2,-3.29,1,-3.29,1
1547,1548,19,3,19,3,0.41,9,0.41,9,-1.67,6,-1.67,6
1548,1549,23,5,23,5,0.73,10,0.73,10,-0.4,10,-0.4,10
1549,1550,12,1,12,1,-2.13,1,-2.13,1,-4.14,1,-4.14,1
1550,1551,12,1,12,1,-2.17,1,-2.17,1,-3.75,1,-3.75,1
1551,1552,17,2,17,2,-1.35,2,-1.35,2,-3.53,1,-3.53,1
1552,1553,13,1,13,1,-2.0,1,-2.0,1,-3.64,1,-3.64,1
1553,1554,17,2,17,2,-1.08,2,-1.08,2,-2.25,3,-2.25,3
1554,1555,13,1,13,1,-1.07,3,-1.07,3,-2.17,4,-2.17,4
1555,1556,19,3,19,3,0.05,7,0.05,7,-1.22,8,-1.22,8
1556,1557,13,1,13,1,-2.11,1,-2.11,1,-3.76,1,-3.76,1
1557,1558,14,1,14,1,-0.68,5,-0.68,5,-1.75,5,-1.75,5
1558,1559,13,1,13,1,-0.62,4,-0.62,4,-1.93,5,-1.93,5
1559,1560,23,5,23,5,-1.28,2,-1.28,2,-3.49,1,-3.49,1
1560,1561,12,1,12,1,-1.47,1,-1.47,1,-3.28,1,-3.28,1
1561,1562,12,1,12,1,-1.0,3,-1.0,3,-2.32,3,-2.32,3
1562,1563,19,3,19,3,-1.73,1,-1.73,1,-3.83,1,-3.83,1
1563,1564,18,3,19,3,0.02,7,0.09,8,-1.65,6,-1.4,7
1564,1565,29,8,29,8,-0.32,5,-0.32,5,-2.34,3,-2.34,3
1565,1566,23,5,23,5,-0.95,3,-0.95,3,-2.46,3,-2.46,3
1566,1567,18,3,18,3,-0.77,3,-0.77,3,-2.12,4,-2.12,4
1567,1568,12,1,12,1,-1.23,2,-1.23,2,-2.7,2,-2.7,2
1568,1569,13,1,13,1,-0.26,7,-0.26,7,-1.41,7,-1.41,7
1569,1570,17,2,17,2,-1.55,2,-1.55,2,-2.51,3,-2.51,3
1570,1571,11,1,11,1,-1.64,1,-1.64,1,-3.46,1,-3.46,1
1571,1572,14,1,14,1,-1.01,2,-1.01,2,-1.74,5,-1.74,5
1573,1574,13,1,13,1,-1.74,1,-1.74,1,-3.15,1,-3.15,1
1574,1575,13,1,13,1,-0.92,3,-0.92,3,-2.79,2,-2.79,2
1575,1576,30,8,30,8,0.15,8,0.15,8,-1.7,6,-1.7,6
1576,1577,15,1,15,1,-2.04,1,-2.04,1,-3.35,1,-3.35,1
1577,1578,14,1,14,1,-1.89,1,-1.89,1,-3.5,1,-3.5,1
1578,1579,11,1,11,1,-2.47,1,-2.47,1,-4.05,1,-4.05,1
1579,1580,22,5,22,5,-1.44,1,-1.44,1,-2.74,2,-2.74,2
1580,1581,23,5,23,5,-0.68,4,-0.68,4,-3.28,1,-3.28,1
1581,1582,13,1,13,1,-1.55,2,-1.55,2,-2.9,2,-2.9,2
1582,1583,12,1,12,1,-2.02,1,-2.02,1,-3.37,1,-3.37,1
1583,1584,15,1,15,1,-1.25,2,-1.25,2,-2.36,3,-2.36,3
1584,1585,19,3,19,3,-1.29,3,-1.29,3,-2.57,2,-2.57,2
1585,1586,24,6,24,6,-0.23,6,-0.23,6,-2.44,3,-2.44,3
1586,1587,18,3,18,3,-2.64,1,-2.64,1,-4.18,1,-4.18,1
1587,1588,21,4,21,4,0.81,10,0.81,10,-1.94,5,-1.94,5
1588,1589,12,1,12,1,-1.54,1,-1.54,1,-2.91,2,-2.91,2
1589,1590,15,1,15,1,-2.13,1,-1.58,1,-3.67,1,-3.18,1
1590,1591,16,2,16,2,-2.28,1,-2.28,1,-3.87,1,-3.87,1
1591,1592,21,4,21,4,-1.36,2,-1.36,2,-2.04,4,-2.04,4
1592,1593,14,1,14,1,-2.33,1,-2.33,1,-3.77,1,-3.77,1
1593,1594,13,1,13,1,-0.67,5,-0.67,5,-1.7,6,-1.7,6
1594,1595,31,9,31,9,0.86,10,0.86,10,-2.08,4,-2.08,4
1595,1596,12,1,12,1,-0.94,3,-0.94,3,-2.34,3,-2.34,3
1596,1597,12,1,12,1,-2.08,1,-2.08,1,-3.57,1,-3.57,1
1597,1598,14,1,14,1,-2.41,1,-2.41,1,-4.04,1,-4.04,1
1598,1599,12,1,12,1,-2.06,1,-2.06,1,-3.4,1,-3.4,1
1599,1600,15,1,15,1,-1.96,1,-1.96,1,-3.42,1,-3.42,1
1600,1601,16,2,16,2,-1.01,2,-1.01,2,-2.86,2,-2.86,2
1601,1602,12,1,12,1,-1.1,2,-1.1,2,-2.65,2,-2.65,2
1602,1603,16,2,16,2,-0.84,4,-0.84,4,-2.17,4,-2.17,4
1603,1604,27,7,27,7,-0.44,5,-0.44,5,-2.35,3,-2.35,3
1604,1605,12,1,12,1,-0.81,3,-0.81,3,-1.93,5,-1.93,5
1605,1606,18,3,18,3,0.02,8,0.02,8,-1.79,5,-1.79,5
1606,1607,12,1,12,1,-0.32,7,-0.32,7,-1.92,5,-1.92,5
1607,1608,40,10,40,10,-0.48,6,-0.48,6,-2.33,3,-2.33,3
1608,1609,21,4,21,4,0.06,8,0.06,8,-2.37,3,-2.37,3
1609,1610,12,1,12,1,-0.3,6,-0.3,6,-1.96,5,-1.96,5
1610,1611,19,3,19,3,-0.91,3,-0.91,3,-2.72,2,-2.72,2
1611,1612,31,9,31,9,0.75,10,0.75,10,-0.94,9,-0.94,9
1612,1613,26,7,26,7,-0.84,3,-0.84,3,-3.09,1,-3.09,1
1613,1614,18,3,18,3,-2.16,1,-2.16,1,-3.75,1,-3.75,1
1614,1615,18,3,18,3,-2.04,1,-2.04,1,-3.49,1,-3.49,1
1615,1616,21,4,21,4,-1.05,2,-1.05,2,-2.64,2,-2.64,2
1616,1617,12,1,12,1,-1.1,2,-1.1,2,-2.99,1,-2.99,1
1617,1618,17,2,17,2,-1.63,1,-1.63,1,-3.21,1,-3.21,1
1618,1619,21,4,27,7,-0.68,4,-0.67,4,-2.12,4,-2.08,4
1619,1620,11,1,11,1,-2.54,1,-2.54,1,-4.1,1,-4.1,1
1620,1621,21,4,21,4,-1.28,3,-1.28,3,-3.28,1,-3.28,1
1621,1622,21,4,21,4,-0.86,3,-0.86,3,-3.45,1,-3.45,1
1622,1623,19,3,19,3,-0.12,7,-0.12,7,-2.2,4,-2.2,4
1623,1624,17,2,17,2,0.22,8,0.22,8,-1.85,5,-1.85,5
1624,1625,15,1,19,3,0.71,10,0.84,10,-0.83,9,-0.64,9
1625,1626,12,1,12,1,-0.85,3,-0.85,3,-2.3,3,-2.3,3
1626,1627,15,1,15,1,-1.19,3,-1.19,3,-2.2,4,-2.2,4
1627,1628,13,1,13,1,-2.43,1,-2.43,1,-3.94,1,-3.94,1
1628,1629,14,1,14,1,-0.51,5,-0.51,5,-2.12,4,-2.12,4
1629,1630,22,5,22,5,-0.77,5,-0.77,5,-3.42,1,-3.42,1
1630,1631,24,6,24,6,-0.86,3,-0.86,3,-3.54,1,-3.54,1
1631,1632,21,4,21,4,0.88,10,0.88,10,-1.97,5,-1.97,5
1632,1633,14,1,14,1,-1.93,1,-1.93,1,-3.95,1,-3.95,1
1633,1634,16,2,16,2,-1.76,1,-1.76,1,-2.99,1,-2.99,1
1634,1635,14,1,14,1,-0.29,6,-0.29,6,-1.6,6,-1.6,6
1636,1637,13,1,13,1,-1.89,1,-1.89,1,-3.29,1,-3.29,1
1637,1638,18,3,18,3,-0.83,3,-0.83,3,-3.3,1,-3.3,1
1638,1639,26,7,26,7,-0.63,4,-0.63,4,-1.93,5,-1.93,5
1639,1640,12,1,12,1,-2.37,1,-2.37,1,-3.73,1,-3.73,1
1640,1641,14,1,14,1,-1.5,1,-1.5,1,-2.92,2,-2.92,2
1641,1642,18,3,18,3,-0.27,6,-0.27,6,-2.0,4,-2.0,4
1642,1643,14,1,14,1,-0.66,4,-0.66,4,-2.17,4,-2.17,4
1644,1645,12,1,12,1,-0.48,6,-0.48,6,-1.62,6,-1.62,6
1645,1646,19,3,19,3,-1.58,1,-1.58,1,-3.54,1,-3.54,1
1646,1647,17,2,17,2,-0.57,4,-0.57,4,-2.14,4,-2.14,4
1647,1648,16,2,16,2,-1.59,1,-1.59,1,-3.64,1,-3.64,1
1648,1649,23,5,23,5,0.05,7,0.05,7,-2.33,3,-2.33,3
1649,1650,28,8,28,8,0.09,8,0.09,8,-1.86,5,-1.86,5
1650,1651,24,6,24,6,-0.78,3,-0.78,3,-3.37,1,-3.37,1
1651,1652,13,1,13,1,-2.59,1,-2.59,1,-3.79,1,-3.79,1
1652,1653,24,6,24,6,-0.47,5,-0.47,5,-2.13,4,-2.13,4
1653,1654,15,1,15,1,-0.65,4,-0.65,4,-2.45,3,-2.45,3
1654,1655,13,1,15,1,-1.03,2,-0.63,4,-2.3,3,-2.1,4
1655,1656,15,1,15,1,-1.17,2,-1.17,2,-3.13,1,-3.13,1
1656,1657,15,1,15,1,-1.5,1,-1.5,1,-2.87,2,-2.87,2
1657,1658,14,1,14,1,-2.57,1,-2.57,1,-4.13,1,-4.13,1
1658,1659,13,1,13,1,-1.14,2,-1.14,2,-2.36,3,-2.36,3
1659,1660,20,3,20,3,0.74,10,0.74,10,-1.85,5,-1.85,5
1660,1661,25,6,25,6,0.49,9,0.49,9,-1.65,6,-1.65,6
1661,1662,13,1,13,1,-1.31,2,-1.31,2,-2.7,2,-2.7,2
1663,1664,13,1,13,1,0.1,8,0.1,8,-2.0,4,-2.0,4
1665,1666,20,4,20,4,-2.12,1,-2.12,1,-3.52,1,-3.52,1
1666,1667,18,3,18,3,-0.32,5,-0.32,5,-1.64,6,-1.64,6
1667,1668,35,10,35,10,0.49,9,0.49,9,-0.86,9,-0.86,9
1668,1669,23,6,23,6,0.94,10,0.94,10,-1.14,8,-1.14,8
1669,1670,13,1,14,1,-0.3,6,-0.27,6,-1.68,6,-1.68,6
1670,1671,18,3,18,3,-1.16,2,-1.16,2,-2.25,3,-2.25,3
1671,1672,16,2,16,2,-0.11,8,-0.11,8,-1.31,7,-1.31,7
1672,1673,18,3,18,3,0.02,7,0.02,7,-1.5,6,-1.5,6
1673,1674,12,1,12,1,-1.1,2,-1.1,2,-2.24,3,-2.24,3
1674,1675,16,2,16,2,0.17,8,0.17,8,-1.69,6,-1.69,6
1675,1676,29,9,29,9,-1.19,3,-1.19,3,-2.86,2,-2.86,2
1676,1677,13,1,13,1,-1.58,2,-1.58,2,-3.13,1,-3.13,1
1677,1678,17,2,17,2,-1.46,1,-1.46,1,-3.93,1,-3.93,1
1678,1679,12,1,12,1,-1.73,1,-1.73,1,-3.05,1,-3.05,1
1679,1680,23,5,23,5,-1.2,2,-1.2,2,-1.81,5,-1.81,5
1680,1681,21,4,21,4,-1.3,2,-1.3,2,-3.16,1,-3.16,1
1681,1682,13,1,13,1,-1.72,1,-1.72,1,-3.06,1,-3.06,1
1682,1683,26,7,26,7,-0.26,7,-0.26,7,-1.68,6,-1.68,6
1683,1684,17,2,17,2,-0.2,7,-0.2,7,-1.74,5,-1.74,5
1684,1685,17,2,17,2,-0.21,6,-0.21,6,-1.84,5,-1.84,5
1685,1686,18,3,18,3,-0.78,5,-0.78,5,-2.26,3,-2.26,3
1686,1687,18,3,18,3,-1.1,3,-1.1,3,-2.4,3,-2.4,3
1688,1689,12,1,12,1,-2.15,1,-2.15,1,-3.67,1,-3.67,1
1689,1690,12,1,12,1,-1.75,1,-1.75,1,-3.13,1,-3.13,1
1690,1691,15,1,15,1,0.69,10,0.69,10,-1.44,7,-1.44,7
1691,1692,20,3,20,3,-1.83,1,-1.83,1,-3.5,1,-3.5,1
1692,1693,13,1,13,1,-1.65,2,-1.65,2,-2.99,1,-2.99,1
1694,1695,26,7,26,7,1.14,10,1.14,10,-0.9,9,-0.9,9
1695,1696,35,10,35,10,-0.02,8,-0.02,8,-1.74,5,-1.74,5
1696,1697,18,3,18,3,-0.42,5,-0.42,5,-2.33,3,-2.33,3
1697,1698,12,1,12,1,-1.22,3,-1.22,3,-2.12,4,-2.12,4
1698,1699,13,1,13,1,-1.6,2,-1.6,2,-3.03,1,-3.03,1
1699,1700,11,1,11,1,-0.76,3,-0.76,3,-2.2,4,-2.2,4
1700,1701,15,1,15,1,0.2,8,0.2,8,-1.32,7,-1.32,7
1701,1702,28,8,28,8,0.36,9,0.36,9,-2.52,3,-2.52,3
1702,1703,24,6,24,6,-0.16,6,-0.16,6,-2.81,2,-2.81,2
1703,1704,19,3,19,3,-1.74,1,-1.74,1,-3.01,1,-3.01,1
1704,1705,20,3,20,3,-0.36,5,-0.36,5,-1.35,7,-1.35,7
1705,1706,17,2,18,3,-0.5,5,-0.5,5,-1.7,6,-1.55,6
1706,1707,18,3,18,3,-1.09,2,-1.09,2,-2.32,3,-2.32,3
1707,1708,15,1,15,1,-0.84,3,-0.84,3,-2.4,3,-2.4,3
1708,1709,24,6,24,6,0.35,9,0.35,9,-1.46,7,-1.46,7
1709,1710,30,8,30,8,-1.31,2,-1.31,2,-3.06,1,-3.06,1
1710,1711,17,2,17,2,-1.74,1,-1.74,1,-3.29,1,-3.29,1
1711,1712,11,1,11,1,-2.23,1,-2.23,1,-3.85,1,-3.85,1
1712,1713,11,1,11,1,-1.38,2,-1.38,2,-2.36,3,-2.36,3
1713,1714,28,7,28,7,0.82,10,0.82,10,0.18,10,0.18,10
1714,1715,21,4,31,9,-0.47,5,-0.26,6,-2.79,2,-1.83,5
1715,1716,23,5,23,5,-0.71,4,-0.71,4,-2.27,3,-2.27,3
1716,1717,26,7,26,7,-0.27,6,-0.27,6,-1.4,7,-1.4,7
1717,1718,20,3,20,3,0.44,9,0.44,9,-1.0,8,-1.0,8
1718,1719,12,1,12,1,-2.72,1,-2.72,1,-4.31,1,-4.31,1
1720,1721,17,2,17,2,-1.51,1,-1.51,1,-2.85,2,-2.85,2
1721,1722,16,2,16,2,-1.75,1,-1.75,1,-3.1,1,-3.1,1
1722,1723,19,3,19,3,0.44,10,0.44,10,-1.84,5,-1.84,5
1723,1724,28,8,28,8,-0.13,6,-0.13,6,-2.77,2,-2.77,2
1725,1726,13,1,13,1,-1.42,1,-1.42,1,-2.63,2,-2.63,2
1726,1727,15,1,15,1,-1.9,1,-1.9,1,-3.33,1,-3.33,1
1727,1728,24,6,24,6,0.35,9,0.35,9,-1.42,7,-1.42,7
1728,1729,15,1,15,1,-1.01,2,-1.01,2,-3.1,1,-3.1,1
1729,1730,23,5,23,5,-0.57,4,-0.57,4,-3.37,1,-3.37,1
1731,1732,16,2,16,2,0.66,10,0.66,10,-1.22,8,-1.22,8
1732,1733,27,8,27,8,-0.25,7,-0.25,7,-2.75,2,-2.75,2
1734,1735,13,1,13,1,-1.93,1,-1.93,1,-2.93,2,-2.93,2
1735,1736,14,1,14,1,-0.26,7,-0.26,7,-1.93,5,-1.93,5
1736,1737,25,7,25,7,0.21,9,0.21,9,-1.07,8,-1.07,8
1737,1738,18,3,18,3,-0.7,4,-0.7,4,-2.39,3,-2.39,3
1738,1739,11,1,11,1,-0.73,4,-0.73,4,-1.64,6,-1.64,6
1740,1741,14,1,14,1,-0.28,6,0.19,8,-2.04,4,-1.72,6
1741,1742,13,1,13,1,-0.63,4,-0.63,4,-1.37,7,-1.37,7
1742,1743,16,2,16,2,-1.62,2,-1.62,2,-2.99,1,-2.99,1
1744,1745,23,5,23,5,-0.45,5,-0.45,5,-2.43,3,-2.43,3
1745,1746,22,5,22,5,-0.95,3,-0.95,3,-2.36,3,-2.36,3
1746,1747,25,6,25,6,-0.4,5,-0.4,5,-1.37,7,-1.37,7
1747,1748,11,1,11,1,-0.64,4,-0.64,4,-1.87,5,-1.87,5
1748,1749,16,2,16,2,-2.07,1,-2.07,1,-4.16,1,-4.16,1
1749,1750,15,1,15,1,-0.9,3,-0.9,3,-1.96,5,-1.96,5
1750,1751,25,6,25,6,-0.13,6,-0.13,6,-2.67,2,-2.67,2
1751,1752,34,10,34,10,-0.18,7,-0.18,7,-2.55,3,-2.55,3
1752,1753,21,4,21,4,-1.39,2,-1.39,2,-2.92,2,-2.92,2
1753,1754,11,1,11,1,-1.87,1,-1.87,1,-3.28,1,-3.28,1
1754,1755,18,3,18,3,-0.29,7,-0.29,7,-1.96,5,-1.96,5
1755,1756,14,1,14,1,-1.48,2,-1.48,2,-3.84,1,-3.84,1
1756,1757,17,2,17,2,-1.41,1,-1.41,1,-2.78,2,-2.78,2
1757,1758,16,2,16,2,-0.52,4,-0.52,4,-0.98,9,-0.98,9
1758,1759,34,10,34,10,0.36,9,0.36,9,-1.65,6,-1.65,6
1759,1760,20,3,20,3,-0.43,5,-0.43,5,-2.74,2,-2.74,2
1760,1761,13,1,13,1,-0.28,6,-0.28,6,-1.48,7,-1.48,7
1761,1762,31,9,31,9,-0.57,6,-0.57,6,-2.2,4,-2.2,4
1762,1763,12,1,12,1,-1.36,2,-1.36,2,-2.4,3,-2.4,3
1763,1764,20,4,20,4,-0.88,4,-0.88,4,-2.26,3,-2.26,3
1764,1765,20,3,20,3,1.01,10,1.01,10,-1.17,8,-1.17,8
1765,1766,22,5,22,5,-0.46,6,-0.46,6,-2.34,3,-2.34,3
1766,1767,16,2,16,2,-1.77,1,-1.77,1,-3.71,1,-3.71,1
1767,1768,23,5,23,5,-1.57,1,-1.57,1,-3.91,1,-3.91,1
1768,1769,14,1,14,1,-0.58,6,-0.58,6,-1.77,5,-1.77,5
1769,1770,11,1,11,1,-1.07,2,-1.07,2,-2.28,3,-2.28,3
1770,1771,13,1,13,1,-0.88,3,-0.88,3,-1.76,5,-1.76,5
1772,1773,12,1,12,1,-2.2,1,-2.2,1,-3.75,1,-3.75,1
1773,1774,11,1,11,1,-1.19,2,-1.19,2,-2.2,4,-2.2,4
1775,1776,15,1,16,2,0.34,9,0.46,9,-0.96,9,-0.72,9
1776,1777,12,1,12,1,-0.21,7,-0.21,7,-1.06,8,-1.06,8
1777,1778,26,7,26,7,0.69,10,0.69,10,-1.18,8,-1.18,8
1778,1779,14,1,14,1,-1.08,2,-1.08,2,-3.54,1,-3.54,1
1779,1780,13,1,13,1,-0.71,5,-0.71,5,-2.69,2,-2.69,2
1780,1781,16,2,16,2,-0.88,3,-0.88,3,-2.32,3,-2.32,3
1781,1782,17,2,17,2,-0.88,3,-0.88,3,-2.15,4,-2.15,4
1782,1783,11,1,11,1,-0.73,4,-0.73,4,-1.64,6,-1.64,6
1783,1784,16,2,16,2,0.18,8,0.18,8,-2.1,4,-2.1,4
1784,1785,18,3,18,3,0.19,8,0.19,8,-2.38,3,-2.38,3
1785,1786,20,3,20,3,0.43,9,0.43,9,-1.87,5,-1.87,5
1786,1787,20,3,20,3,-0.5,5,-0.5,5,-1.42,7,-1.42,7
1787,1788,27,7,27,7,1.05,10,1.05,10,-0.2,10,-0.2,10
1789,1790,19,3,19,3,-0.56,4,-0.56,4,-2.12,4,-2.12,4
1790,1791,19,3,19,3,0.28,8,0.28,8,-2.03,4,-2.03,4
1791,1792,17,2,17,2,0.53,9,0.53,9,-1.73,6,-1.73,6
1792,1793,17,2,17,2,-1.89,1,-1.89,1,-3.59,1,-3.59,1
1793,1794,17,2,17,2,-1.23,2,-1.23,2,-3.38,1,-3.38,1
1794,1795,13,1,13,1,-0.48,6,-0.48,6,-1.55,6,-1.55,6
1795,1796,11,1,11,1,-0.76,3,-0.76,3,-1.62,6,-1.62,6
1796,1797,18,3,18,3,0.24,9,0.24,9,-1.52,6,-1.52,6
1797,1798,31,9,31,9,0.03,7,0.03,7,-1.68,6,-1.68,6
1798,1799,20,4,20,4,-0.25,7,-0.25,7,-2.25,3,-2.25,3
1799,1800,29,8,29,8,-0.46,5,-0.46,5,-2.61,2,-2.61,2
1800,1801,11,1,11,1,-1.24,3,-1.24,3,-2.24,3,-2.24,3
1801,1802,14,1,14,1,-2.78,1,-2.78,1,-4.38,1,-4.38,1
1802,1803,16,2,16,2,-0.67,4,-0.67,4,-2.83,2,-2.83,2
1804,1805,25,6,25,6,-0.34,5,-0.34,5,-2.17,4,-2.17,4
1805,1806,30,9,30,9,-0.74,5,-0.74,5,-2.75,2,-2.75,2
1806,1807,15,1,15,1,-2.08,1,-2.08,1,-3.59,1,-3.59,1
1807,1808,25,6,25,6,-0.55,4,-0.55,4,-2.48,3,-2.48,3
1808,1809,27,7,27,7,-0.68,4,-0.68,4,-1.69,6,-1.69,6
1809,1810,12,1,12,1,-1.65,1,-1.65,1,-2.96,1,-2.96,1
1810,1811,13,1,13,1,-1.98,1,-1.98,1,-3.49,1,-3.49,1
1812,1813,20,3,20,3,-1.05,2,-1.05,2,-2.84,2,-2.84,2
1813,1814,25,6,25,6,-1.18,2,-1.18,2,-2.7,2,-2.7,2
1814,1815,16,2,16,2,-1.17,2,-1.17,2,-3.05,1,-3.05,1
1815,1816,30,9,30,9,0.98,10,0.98,10,-1.85,5,-1.85,5
1816,1817,15,1,15,1,-0.87,4,-0.87,4,-1.93,5,-1.93,5
1817,1818,13,1,13,1,-1.06,2,-1.06,2,-2.42,3,-2.42,3
1818,1819,21,4,21,4,-0.15,6,-0.15,6,-1.82,5,-1.82,5
1819,1820,23,5,23,5,-1.48,1,-1.48,1,-2.69,2,-2.69,2
1820,1821,14,1,14,1,-1.07,3,-1.07,3,-2.42,3,-2.42,3
1821,1822,23,5,23,5,-0.95,3,-0.95,3,-2.65,2,-2.65,2
1822,1823,12,1,12,1,-2.0,1,-2.0,1,-3.43,1,-3.43,1
1823,1824,13,1,13,1,-0.52,4,-0.52,4,-1.64,6,-1.64,6
1824,1825,12,1,12,1,-1.87,1,-1.87,1,-3.34,1,-3.34,1
1826,1827,15,1,15,1,-0.01,7,-0.01,7,-1.88,5,-1.88,5
1827,1828,13,1,13,1,-1.77,1,-1.77,1,-3.22,1,-3.22,1
1828,1829,19,3,19,3,-0.77,5,-0.77,5,-2.77,2,-2.77,2
1829,1830,22,5,27,7,0.93,10,1.2,10,-0.37,10,0.93,10
1830,1831,26,7,26,7,-0.24,7,-0.24,7,-2.23,4,-2.23,4
1831,1832,19,3,21,4,0.22,8,0.44,10,-0.43,10,-0.31,10
1832,1833,18,3,18,3,-0.78,3,-0.78,3,-1.98,4,-1.98,4
1833,1834,15,1,15,1,-0.6,4,-0.6,4,-1.9,5,-1.9,5
1834,1835,15,1,15,1,-0.86,3,-0.86,3,-2.54,3,-2.54,3
1835,1836,14,1,14,1,-1.82,1,-1.82,1,-3.16,1,-3.16,1
1836,1837,20,3,20,3,0.26,8,0.26,8,-1.52,6,-1.52,6
1837,1838,18,3,18,3,-1.33,2,-1.33,2,-3.27,1,-3.27,1
1838,1839,21,4,21,4,-0.56,4,-0.56,4,-2.34,3,-2.34,3
1839,1840,22,5,22,5,-1.32,2,-1.32,2,-3.58,1,-3.58,1
1840,1841,21,4,21,4,-1.13,3,-1.13,3,-2.89,2,-2.89,2
1841,1842,19,3,19,3,-0.3,6,-0.3,6,-1.59,6,-1.59,6
1842,1843,18,3,18,3,-1.21,2,-1.21,2,-2.97,1,-2.97,1
1843,1844,20,3,20,3,-0.16,6,-0.14,6,-2.6,2,-2.57,2
1844,1845,22,5,22,5,-1.37,2,-1.37,2,-2.94,2,-2.94,2
1845,1846,19,3,19,3,0.43,9,0.43,9,-1.18,8,-1.18,8
1846,1847,18,3,18,3,-1.66,1,-1.66,1,-3.19,1,-3.19,1
1847,1848,20,3,20,3,-1.09,2,-1.09,2,-2.33,3,-2.33,3
1848,1849,15,1,15,1,-0.31,6,-0.31,6,-1.82,5,-1.82,5
1849,1850,29,8,29,8,-0.14,6,-0.14,6,-1.49,7,-1.49,7
1850,1851,29,8,29,8,0.77,10,0.77,10,-2.1,4,-2.1,4
1851,1852,15,1,15,1,-0.11,7,-0.11,7,-1.7,6,-1.7,6
1852,1853,31,9,31,9,-0.73,4,-0.73,4,-2.74,2,-2.74,2
1853,1854,17,2,17,2,-0.58,4,-0.58,4,-3.04,1,-3.04,1
1854,1855,16,2,16,2,0.69,10,0.69,10,-1.41,7,-1.41,7
1855,1856,12,1,12,1,-0.53,4,-0.53,4,-1.8,5,-1.8,5
1856,1857,25,6,25,6,0.3,8,0.3,8,0.02,10,0.02,10
1857,1858,26,7,26,7,0.76,10,0.76,10,-0.33,10,-0.33,10
1858,1859,11,1,11,1,-1.1,3,-1.1,3,-2.68,2,-2.68,2
1859,1860,12,1,12,1,-0.19,6,-0.19,6,-1.52,6,-1.52,6
1860,1861,23,5,23,5,0.1,8,0.1,8,-2.0,4,-2.0,4
1861,1862,17,2,17,2,-1.22,2,-1.22,2,-2.72,2,-2.72,2
1862,1863,16,2,16,2,-0.18,6,-0.18,6,-2.24,3,-2.24,3
1863,1864,17,2,17,2,-1.17,2,-1.17,2,-2.75,2,-2.75,2
1864,1865,12,1,12,1,-1.88,1,-1.88,1,-3.33,1,-3.33,1
1865,1866,20,3,20,3,-1.31,2,-1.31,2,-2.77,2,-2.77,2
1866,1867,26,7,26,7,-1.45,1,-1.45,1,-2.71,2,-2.71,2
1867,1868,19,3,19,3,0.38,9,0.38,9,-1.2,8,-1.2,8
1868,1869,11,1,11,1,-2.44,1,-2.44,1,-3.95,1,-3.95,1
1869,1870,11,1,11,1,-0.82,3,-0.82,3,-1.53,6,-1.53,6
1870,1871,15,1,15,1,0.07,8,0.07,8,-1.14,8,-1.14,8
1871,1872,12,1,12,1,-1.88,1,-1.88,1,-3.31,1,-3.31,1
1872,1873,19,3,19,3,-1.28,3,-1.28,3,-2.86,2,-2.86,2
1873,1874,15,1,15,1,-0.83,4,-0.83,4,-2.14,4,-2.14,4
1874,1875,32,9,32,9,0.1,8,0.1,8,-2.58,2,-2.58,2
1875,1876,17,2,17,2,-1.07,3,-1.07,3,-2.81,2,-2.81,2
1876,1877,12,1,12,1,-0.42,5,-0.42,5,-1.82,5,-1.82,5
1877,1878,20,3,20,3,0.62,10,0.62,10,-1.3,7,-1.3,7
1878,1879,15,1,15,1,0.45,9,0.45,9,-0.89,9,-0.89,9
1879,1880,15,1,15,1,0.72,10,0.72,10,-1.22,8,-1.22,8
1880,1881,13,1,13,1,-2.16,1,-2.16,1,-3.62,1,-3.62,1
1881,1882,27,7,27,7,0.5,9,0.5,9,-0.47,10,-0.47,10
1882,1883,14,1,14,1,-1.92,1,-1.92,1,-3.46,1,-3.46,1
1883,1884,13,1,13,1,-0.64,4,-0.64,4,-2.18,4,-2.18,4
1884,1885,19,3,19,3,0.18,9,0.18,9,-2.14,4,-2.14,4
1885,1886,24,6,24,6,-0.93,3,-0.93,3,-3.77,1,-3.77,1
1886,1887,17,2,17,2,-0.81,3,-0.81,3,-1.66,6,-1.66,6
1887,1888,21,4,21,4,-0.47,5,-0.47,5,-2.1,4,-2.1,4
1888,1889,11,1,11,1,-0.66,4,-0.66,4,-1.49,7,-1.49,7
1889,1890,20,3,20,3,-0.61,4,-0.61,4,-2.34,3,-2.34,3
