Fiscal Year,Region,Age Group,Race Ethnicity,Gender,Alleged Victims in Initial Investigation,Alleged Victims in Repeat Investigation,Recidivism
2019,6-Houston,Under 18,Other,Male,1,0,0
2019,6-Houston,Unknown,African American,Female,1,1,1
2019,6-Houston,Unknown,Unknown,Unknown,2,0,0
2019,7-Austin,18-64 with Disabilities,African American,Female,434,69,0.159
2019,7-Austin,18-64 with Disabilities,African American,Male,367,49,0.1335
2019,7-Austin,18-64 with Disabilities,African American,Unknown,1,0,0
2019,7-Austin,18-64 with Disabilities,Anglo,Female,1025,126,0.1229
2019,7-Austin,18-64 with Disabilities,Anglo,Male,837,120,0.1434
2019,7-Austin,18-64 with Disabilities,Anglo,Unknown,8,1,0.125
2019,7-Austin,18-64 with Disabilities,Asian,Female,29,7,0.2414
2019,7-Austin,18-64 with Disabilities,Asian,Male,10,1,0.1
2019,7-Austin,18-64 with Disabilities,Hispanic,Female,303,52,0.1716
2019,7-Austin,18-64 with Disabilities,Hispanic,Male,245,21,0.0857
2019,7-Austin,18-64 with Disabilities,Hispanic,Unknown,2,0,0
2019,7-Austin,18-64 with Disabilities,Native American,Female,6,1,0.1667
2019,7-Austin,18-64 with Disabilities,Native American,Male,3,2,0.6667
2019,7-Austin,18-64 with Disabilities,Native American,Unknown,1,1,1
2019,7-Austin,18-64 with Disabilities,Other,Female,332,59,0.1777
2019,7-Austin,18-64 with Disabilities,Other,Male,252,38,0.1508
2019,7-Austin,18-64 with Disabilities,Other,Unknown,4,0,0
2019,7-Austin,65 and Older,African American,Female,515,106,0.2058
2019,7-Austin,65 and Older,African American,Male,389,66,0.1697
2019,7-Austin,65 and Older,African American,Unknown,7,2,0.2857
2019,7-Austin,65 and Older,Anglo,Female,2262,432,0.191
2019,7-Austin,65 and Older,Anglo,Male,1572,264,0.1679
2019,7-Austin,65 and Older,Anglo,Unknown,32,9,0.2813
2019,7-Austin,65 and Older,Asian,Female,59,9,0.1525
2019,7-Austin,65 and Older,Asian,Male,16,1,0.0625
2019,7-Austin,65 and Older,Hispanic,Female,454,81,0.1784
2019,7-Austin,65 and Older,Hispanic,Male,314,48,0.1529
2019,7-Austin,65 and Older,Hispanic,Unknown,2,2,1
2019,7-Austin,65 and Older,Native American,Female,6,2,0.3333
2019,7-Austin,65 and Older,Native American,Male,1,0,0
2019,7-Austin,65 and Older,Other,Female,729,123,0.1687
2019,7-Austin,65 and Older,Other,Male,406,49,0.1207
2019,7-Austin,65 and Older,Other,Unknown,17,3,0.1765
2019,7-Austin,Under 18,African American,Female,1,0,0
2019,7-Austin,Unknown,Anglo,Female,1,0,0
2019,7-Austin,Unknown,Other,Male,1,0,0
2019,7-Austin,Unknown,Unknown,Unknown,1,0,0
2019,8-San Antonio,18-64 with Disabilities,African American,Female,251,43,0.1713
2019,8-San Antonio,18-64 with Disabilities,African American,Male,188,28,0.1489
2019,8-San Antonio,18-64 with Disabilities,Anglo,Female,750,110,0.1467
2019,8-San Antonio,18-64 with Disabilities,Anglo,Male,576,79,0.1372
2019,8-San Antonio,18-64 with Disabilities,Anglo,Unknown,7,4,0.5714
2019,8-San Antonio,18-64 with Disabilities,Asian,Female,11,2,0.1818
2019,8-San Antonio,18-64 with Disabilities,Asian,Male,10,0,0
2019,8-San Antonio,18-64 with Disabilities,Asian,Unknown,1,0,0
2019,8-San Antonio,18-64 with Disabilities,Hispanic,Female,890,128,0.1438
2019,8-San Antonio,18-64 with Disabilities,Hispanic,Male,829,109,0.1315
2019,8-San Antonio,18-64 with Disabilities,Hispanic,Unknown,9,3,0.3333
2019,8-San Antonio,18-64 with Disabilities,Native American,Female,7,0,0
2019,8-San Antonio,18-64 with Disabilities,Native American,Male,1,0,0
2019,8-San Antonio,18-64 with Disabilities,Other,Female,352,70,0.1989
2019,8-San Antonio,18-64 with Disabilities,Other,Male,303,52,0.1716
2019,8-San Antonio,18-64 with Disabilities,Other,Unknown,6,2,0.3333
2019,8-San Antonio,65 and Older,African American,Female,303,67,0.2211
2019,8-San Antonio,65 and Older,African American,Male,194,29,0.1495
2019,8-San Antonio,65 and Older,African American,Unknown,2,1,0.5
2019,8-San Antonio,65 and Older,Anglo,Female,1679,298,0.1775
2019,8-San Antonio,65 and Older,Anglo,Male,1140,162,0.1421
2019,8-San Antonio,65 and Older,Anglo,Unknown,18,11,0.6111
2019,8-San Antonio,65 and Older,Asian,Female,49,8,0.1633
2019,8-San Antonio,65 and Older,Asian,Male,10,1,0.1
2019,8-San Antonio,65 and Older,Asian,Unknown,1,0,0
2019,8-San Antonio,65 and Older,Hispanic,Female,1776,276,0.1554
2019,8-San Antonio,65 and Older,Hispanic,Male,1079,146,0.1353
2019,8-San Antonio,65 and Older,Hispanic,Unknown,20,7,0.35
2019,8-San Antonio,65 and Older,Native American,Female,2,0,0
2019,8-San Antonio,65 and Older,Native American,Male,2,0,0
2019,8-San Antonio,65 and Older,Other,Female,804,115,0.143
2019,8-San Antonio,65 and Older,Other,Male,481,55,0.1143
2019,8-San Antonio,65 and Older,Other,Unknown,16,2,0.125
2019,8-San Antonio,Under 18,Hispanic,Male,1,0,0
2019,8-San Antonio,Unknown,Asian,Female,1,1,1
2019,8-San Antonio,Unknown,Other,Female,2,0,0
2019,9-Midland,18-64 with Disabilities,African American,Female,49,10,0.2041
2019,9-Midland,18-64 with Disabilities,African American,Male,33,6,0.1818
2019,9-Midland,18-64 with Disabilities,Anglo,Female,275,45,0.1636
2019,9-Midland,18-64 with Disabilities,Anglo,Male,240,38,0.1583
2019,9-Midland,18-64 with Disabilities,Anglo,Unknown,2,0,0
2019,9-Midland,18-64 with Disabilities,Hispanic,Female,172,32,0.186
2019,9-Midland,18-64 with Disabilities,Hispanic,Male,155,26,0.1677
2019,9-Midland,18-64 with Disabilities,Native American,Male,1,0,0
2019,9-Midland,18-64 with Disabilities,Other,Female,121,25,0.2066
2019,9-Midland,18-64 with Disabilities,Other,Male,84,17,0.2024
2019,9-Midland,18-64 with Disabilities,Other,Unknown,1,0,0
2019,9-Midland,65 and Older,African American,Female,65,16,0.2462
2019,9-Midland,65 and Older,African American,Male,41,9,0.2195
2019,9-Midland,65 and Older,African American,Unknown,3,1,0.3333
2019,9-Midland,65 and Older,Anglo,Female,541,99,0.183
2019,9-Midland,65 and Older,Anglo,Male,393,83,0.2112
2019,9-Midland,65 and Older,Anglo,Unknown,5,4,0.8
2019,9-Midland,65 and Older,Asian,Female,6,0,0
2019,9-Midland,65 and Older,Hispanic,Female,326,51,0.1564
2019,9-Midland,65 and Older,Hispanic,Male,228,35,0.1535
2019,9-Midland,65 and Older,Hispanic,Unknown,2,1,0.5
2019,9-Midland,65 and Older,Native American,Female,1,0,0
2019,9-Midland,65 and Older,Other,Female,177,32,0.1808
2019,9-Midland,65 and Older,Other,Male,124,20,0.1613
2019,9-Midland,65 and Older,Other,Unknown,1,0,0
2019,9-Midland,Under 18,Other,Male,1,0,0
2019,9-Midland,Unknown,Other,Female,1,0,0
2019,10-El Paso,18-64 with Disabilities,African American,Female,28,3,0.1071
2019,10-El Paso,18-64 with Disabilities,African American,Male,32,5,0.1563
2019,10-El Paso,18-64 with Disabilities,Anglo,Female,119,11,0.0924
2019,10-El Paso,18-64 with Disabilities,Anglo,Male,98,20,0.2041
2019,10-El Paso,18-64 with Disabilities,Asian,Female,3,0,0
2019,10-El Paso,18-64 with Disabilities,Asian,Male,4,1,0.25
2019,10-El Paso,18-64 with Disabilities,Hispanic,Female,403,52,0.129
2019,10-El Paso,18-64 with Disabilities,Hispanic,Male,371,51,0.1375
2019,10-El Paso,18-64 with Disabilities,Hispanic,Unknown,6,4,0.6667
2019,10-El Paso,18-64 with Disabilities,Native American,Male,1,0,0
2019,10-El Paso,18-64 with Disabilities,Other,Female,87,17,0.1954
2019,10-El Paso,18-64 with Disabilities,Other,Male,73,20,0.274
2019,10-El Paso,18-64 with Disabilities,Other,Unknown,1,0,0
2019,10-El Paso,65 and Older,African American,Female,39,6,0.1538
2019,10-El Paso,65 and Older,African American,Male,34,7,0.2059
2019,10-El Paso,65 and Older,Anglo,Female,258,40,0.155
2019,10-El Paso,65 and Older,Anglo,Male,219,33,0.1507
2019,10-El Paso,65 and Older,Anglo,Unknown,3,1,0.3333
2019,10-El Paso,65 and Older,Asian,Female,19,6,0.3158
2019,10-El Paso,65 and Older,Asian,Male,5,2,0.4
2019,10-El Paso,65 and Older,Hispanic,Female,1042,141,0.1353
2019,10-El Paso,65 and Older,Hispanic,Male,630,89,0.1413
2019,10-El Paso,65 and Older,Hispanic,Unknown,11,4,0.3636
2019,10-El Paso,65 and Older,Native American,Female,1,0,0
2019,10-El Paso,65 and Older,Native American,Male,2,0,0
2019,10-El Paso,65 and Older,Other,Female,220,34,0.1545
2019,10-El Paso,65 and Older,Other,Male,134,17,0.1269
2019,10-El Paso,65 and Older,Other,Unknown,5,0,0
2019,10-El Paso,Under 18,Hispanic,Female,1,0,0
2019,11-Edinburg,18-64 with Disabilities,African American,Female,35,7,0.2
2019,11-Edinburg,18-64 with Disabilities,African American,Male,35,5,0.1429
2019,11-Edinburg,18-64 with Disabilities,Anglo,Female,331,60,0.1813
2019,11-Edinburg,18-64 with Disabilities,Anglo,Male,254,45,0.1772
2019,11-Edinburg,18-64 with Disabilities,Anglo,Unknown,1,0,0
2019,11-Edinburg,18-64 with Disabilities,Asian,Female,2,1,0.5
2019,11-Edinburg,18-64 with Disabilities,Asian,Male,3,2,0.6667
2019,11-Edinburg,18-64 with Disabilities,Hispanic,Female,979,152,0.1553
2019,11-Edinburg,18-64 with Disabilities,Hispanic,Male,1066,121,0.1135
2019,11-Edinburg,18-64 with Disabilities,Hispanic,Unknown,12,2,0.1667
2019,11-Edinburg,18-64 with Disabilities,Native American,Female,2,1,0.5
2019,11-Edinburg,18-64 with Disabilities,Native American,Male,1,0,0
2019,11-Edinburg,18-64 with Disabilities,Other,Female,193,35,0.1813
2019,11-Edinburg,18-64 with Disabilities,Other,Male,160,30,0.1875
2019,11-Edinburg,18-64 with Disabilities,Other,Unknown,7,0,0
2019,11-Edinburg,65 and Older,African American,Female,39,12,0.3077
2019,11-Edinburg,65 and Older,African American,Male,34,5,0.1471
2019,11-Edinburg,65 and Older,Anglo,Female,661,137,0.2073
2019,11-Edinburg,65 and Older,Anglo,Male,521,93,0.1785
2019,11-Edinburg,65 and Older,Anglo,Unknown,15,3,0.2
2019,11-Edinburg,65 and Older,Asian,Female,9,2,0.2222
2019,11-Edinburg,65 and Older,Asian,Male,3,0,0
2019,11-Edinburg,65 and Older,Hispanic,Female,2041,344,0.1685
2019,11-Edinburg,65 and Older,Hispanic,Male,1382,194,0.1404
2019,11-Edinburg,65 and Older,Hispanic,Unknown,22,5,0.2273
2019,11-Edinburg,65 and Older,Native American,Female,3,1,0.3333
2019,11-Edinburg,65 and Older,Native American,Male,3,0,0
2019,11-Edinburg,65 and Older,Other,Female,419,58,0.1384
2019,11-Edinburg,65 and Older,Other,Male,284,37,0.1303
2019,11-Edinburg,65 and Older,Other,Unknown,5,0,0
2019,11-Edinburg,Under 18,Asian,Male,1,0,0
2019,11-Edinburg,Under 18,Hispanic,Male,1,0,0
2019,Out of State,18-64 with Disabilities,Anglo,Female,4,1,0.25
2019,Out of State,18-64 with Disabilities,Anglo,Male,3,0,0
2019,Out of State,18-64 with Disabilities,Hispanic,Female,1,1,1
2019,Out of State,18-64 with Disabilities,Other,Male,1,0,0
2019,Out of State,65 and Older,African American,Female,1,0,0
2019,Out of State,65 and Older,African American,Male,2,0,0
2019,Out of State,65 and Older,Anglo,Female,8,3,0.375
2019,Out of State,65 and Older,Anglo,Male,3,0,0
2019,Out of State,65 and Older,Hispanic,Female,4,0,0
2019,Out of State,65 and Older,Hispanic,Male,2,0,0
2019,Out of State,65 and Older,Other,Female,1,0,0
2018,1-Lubbock,18-64 with Disability,African American,Female,243,66,0.2716
2018,1-Lubbock,18-64 with Disability,African American,Male,165,42,0.2545
2018,1-Lubbock,18-64 with Disability,African American,Unknown,7,3,0.4286
2018,1-Lubbock,18-64 with Disability,Anglo,Female,518,105,0.2027
2018,1-Lubbock,18-64 with Disability,Anglo,Male,437,79,0.1808
2018,1-Lubbock,18-64 with Disability,Anglo,Unknown,14,2,0.1429
2018,1-Lubbock,18-64 with Disability,Asian,Female,3,0,0
2018,1-Lubbock,18-64 with Disability,Asian,Male,3,0,0
2018,1-Lubbock,18-64 with Disability,Hispanic,Female,271,46,0.1697
2018,1-Lubbock,18-64 with Disability,Hispanic,Male,228,34,0.1491
2018,1-Lubbock,18-64 with Disability,Hispanic,Unknown,6,0,0
2018,1-Lubbock,18-64 with Disability,Native American,Female,6,1,0.1667
2018,1-Lubbock,18-64 with Disability,Native American,Male,3,0,0
2018,1-Lubbock,18-64 with Disability,Other,Female,195,66,0.3385
2018,1-Lubbock,18-64 with Disability,Other,Male,128,38,0.2969
2018,1-Lubbock,18-64 with Disability,Other,Unknown,9,1,0.1111
2018,1-Lubbock,65 and Older,African American,Female,172,49,0.2849
2018,1-Lubbock,65 and Older,African American,Male,129,46,0.3566
2018,1-Lubbock,65 and Older,African American,Unknown,7,5,0.7143
2018,1-Lubbock,65 and Older,Anglo,Female,881,152,0.1725
2018,1-Lubbock,65 and Older,Anglo,Male,596,112,0.1879
2018,1-Lubbock,65 and Older,Anglo,Unknown,22,8,0.3636
2018,1-Lubbock,65 and Older,Asian,Female,9,2,0.2222
2018,1-Lubbock,65 and Older,Asian,Male,5,0,0
2018,1-Lubbock,65 and Older,Asian,Unknown,1,1,1
2018,1-Lubbock,65 and Older,Hispanic,Female,448,83,0.1853
2018,1-Lubbock,65 and Older,Hispanic,Male,298,50,0.1678
2018,1-Lubbock,65 and Older,Hispanic,Unknown,10,5,0.5
2018,1-Lubbock,65 and Older,Native American,Female,4,3,0.75
2018,1-Lubbock,65 and Older,Native American,Male,2,0,0
2018,1-Lubbock,65 and Older,Other,Female,230,52,0.2261
2018,1-Lubbock,65 and Older,Other,Male,147,27,0.1837
2018,1-Lubbock,65 and Older,Other,Unknown,15,5,0.3333
2018,1-Lubbock,Under 18,Anglo,Female,1,0,0
2018,1-Lubbock,Unknown,African American,Male,1,1,1
2018,2-Abilene,18-64 with Disability,African American,Female,138,24,0.1739
2018,2-Abilene,18-64 with Disability,African American,Male,97,24,0.2474
2018,2-Abilene,18-64 with Disability,African American,Unknown,5,1,0.2
2018,2-Abilene,18-64 with Disability,Anglo,Female,716,157,0.2193
2018,2-Abilene,18-64 with Disability,Anglo,Male,577,87,0.1508
2018,2-Abilene,18-64 with Disability,Anglo,Unknown,12,5,0.4167
2018,2-Abilene,18-64 with Disability,Asian,Female,2,1,0.5
2018,2-Abilene,18-64 with Disability,Asian,Male,1,0,0
2018,2-Abilene,18-64 with Disability,Hispanic,Female,129,28,0.2171
2018,2-Abilene,18-64 with Disability,Hispanic,Male,131,21,0.1603
2018,2-Abilene,18-64 with Disability,Hispanic,Unknown,1,0,0
2018,2-Abilene,18-64 with Disability,Native American,Male,5,3,0.6
2018,2-Abilene,18-64 with Disability,Other,Female,219,55,0.2511
2018,2-Abilene,18-64 with Disability,Other,Male,142,35,0.2465
2018,2-Abilene,18-64 with Disability,Other,Unknown,3,0,0
2018,2-Abilene,65 and Older,African American,Female,145,42,0.2897
2018,2-Abilene,65 and Older,African American,Male,89,16,0.1798
2018,2-Abilene,65 and Older,African American,Unknown,3,1,0.3333
2018,2-Abilene,65 and Older,Anglo,Female,1105,246,0.2226
2018,2-Abilene,65 and Older,Anglo,Male,723,148,0.2047
2018,2-Abilene,65 and Older,Anglo,Unknown,31,9,0.2903
2018,2-Abilene,65 and Older,Asian,Female,10,3,0.3
2018,2-Abilene,65 and Older,Asian,Male,3,0,0
2018,2-Abilene,65 and Older,Hispanic,Female,200,39,0.195
2018,2-Abilene,65 and Older,Hispanic,Male,134,21,0.1567
2018,2-Abilene,65 and Older,Hispanic,Unknown,5,2,0.4
2018,2-Abilene,65 and Older,Native American,Female,4,3,0.75
2018,2-Abilene,65 and Older,Other,Female,273,72,0.2637
2018,2-Abilene,65 and Older,Other,Male,122,20,0.1639
2018,2-Abilene,65 and Older,Other,Unknown,9,0,0
2018,2-Abilene,Unknown,Other,Female,1,1,1
2018,3-Arlington,18-64 with Disability,African American,Female,1023,96,0.0938
2018,3-Arlington,18-64 with Disability,African American,Male,785,95,0.121
2018,3-Arlington,18-64 with Disability,African American,Unknown,24,5,0.2083
2018,3-Arlington,18-64 with Disability,Anglo,Female,1967,223,0.1134
2018,3-Arlington,18-64 with Disability,Anglo,Male,1582,176,0.1113
2018,3-Arlington,18-64 with Disability,Anglo,Unknown,50,7,0.14
2018,3-Arlington,18-64 with Disability,Asian,Female,43,2,0.0465
2018,3-Arlington,18-64 with Disability,Asian,Male,35,0,0
2018,3-Arlington,18-64 with Disability,Asian,Unknown,1,0,0
2018,3-Arlington,18-64 with Disability,Hispanic,Female,401,37,0.0923
2018,3-Arlington,18-64 with Disability,Hispanic,Male,310,30,0.0968
2018,3-Arlington,18-64 with Disability,Hispanic,Unknown,6,1,0.1667
2018,3-Arlington,18-64 with Disability,Native American,Female,9,1,0.1111
2018,3-Arlington,18-64 with Disability,Native American,Male,4,0,0
2018,3-Arlington,18-64 with Disability,Other,Female,534,63,0.118
2018,3-Arlington,18-64 with Disability,Other,Male,421,47,0.1116
2018,3-Arlington,18-64 with Disability,Other,Unknown,25,3,0.12
2018,3-Arlington,65 and Older,African American,Female,1485,232,0.1562
2018,3-Arlington,65 and Older,African American,Male,868,134,0.1544
2018,3-Arlington,65 and Older,African American,Unknown,43,14,0.3256
2018,3-Arlington,65 and Older,Anglo,Female,4465,731,0.1637
2018,3-Arlington,65 and Older,Anglo,Male,2723,457,0.1678
2018,3-Arlington,65 and Older,Anglo,Unknown,118,31,0.2627
2018,3-Arlington,65 and Older,Asian,Female,91,10,0.1099
2018,3-Arlington,65 and Older,Asian,Male,51,4,0.0784
2018,3-Arlington,65 and Older,Asian,Unknown,1,0,0
2018,3-Arlington,65 and Older,Hispanic,Female,583,99,0.1698
2018,3-Arlington,65 and Older,Hispanic,Male,392,62,0.1582
2018,3-Arlington,65 and Older,Hispanic,Unknown,16,2,0.125
2018,3-Arlington,65 and Older,Native American,Female,13,1,0.0769
2018,3-Arlington,65 and Older,Native American,Male,11,0,0
2018,3-Arlington,65 and Older,Other,Female,1257,212,0.1687
2018,3-Arlington,65 and Older,Other,Male,716,83,0.1159
2018,3-Arlington,65 and Older,Other,Unknown,84,8,0.0952
2018,3-Arlington,Under 18,African American,Male,1,0,0
2018,3-Arlington,Under 18,Anglo,Female,1,0,0
2018,3-Arlington,Under 18,Anglo,Male,4,0,0
2018,3-Arlington,Under 18,Other,Female,1,0,0
2018,3-Arlington,Unknown,Anglo,Female,1,0,0
2018,3-Arlington,Unknown,Anglo,Male,3,0,0
2018,3-Arlington,Unknown,Other,Female,1,0,0
2018,3-Arlington,Unknown,Other,Male,2,0,0
2018,3-Arlington,Unknown,Other,Unknown,1,0,0
2018,4-Tyler,18-64 with Disability,African American,Female,249,35,0.1406
2018,4-Tyler,18-64 with Disability,African American,Male,185,16,0.0865
2018,4-Tyler,18-64 with Disability,African American,Unknown,2,0,0
2018,4-Tyler,18-64 with Disability,Anglo,Female,740,97,0.1311
2018,4-Tyler,18-64 with Disability,Anglo,Male,498,62,0.1245
2018,4-Tyler,18-64 with Disability,Anglo,Unknown,10,1,0.1
2018,4-Tyler,18-64 with Disability,Asian,Female,4,1,0.25
2018,4-Tyler,18-64 with Disability,Asian,Male,2,1,0.5
2018,4-Tyler,18-64 with Disability,Hispanic,Female,29,7,0.2414
2018,4-Tyler,18-64 with Disability,Hispanic,Male,39,4,0.1026
2018,4-Tyler,18-64 with Disability,Native American,Female,1,0,0
2018,4-Tyler,18-64 with Disability,Native American,Male,2,0,0
2018,4-Tyler,18-64 with Disability,Other,Female,145,26,0.1793
2018,4-Tyler,18-64 with Disability,Other,Male,97,13,0.134
2018,4-Tyler,18-64 with Disability,Other,Unknown,7,0,0
2018,4-Tyler,65 and Older,African American,Female,365,46,0.126
2018,4-Tyler,65 and Older,African American,Male,185,21,0.1135
2018,4-Tyler,65 and Older,African American,Unknown,7,1,0.1429
2018,4-Tyler,65 and Older,Anglo,Female,1231,179,0.1454
2018,4-Tyler,65 and Older,Anglo,Male,866,117,0.1351
2018,4-Tyler,65 and Older,Anglo,Unknown,25,7,0.28
2018,4-Tyler,65 and Older,Hispanic,Female,34,6,0.1765
2018,4-Tyler,65 and Older,Hispanic,Male,30,5,0.1667
2018,4-Tyler,65 and Older,Hispanic,Unknown,2,1,0.5
2018,4-Tyler,65 and Older,Native American,Female,6,1,0.1667
2018,4-Tyler,65 and Older,Native American,Male,2,0,0
2018,4-Tyler,65 and Older,Other,Female,254,36,0.1417
2018,4-Tyler,65 and Older,Other,Male,134,10,0.0746
2018,4-Tyler,65 and Older,Other,Unknown,8,0,0
2018,4-Tyler,Unknown,Other,Female,1,0,0
2018,5-Beaumont,18-64 with Disability,African American,Female,262,38,0.145
2018,5-Beaumont,18-64 with Disability,African American,Male,242,37,0.1529
2018,5-Beaumont,18-64 with Disability,African American,Unknown,4,1,0.25
2018,5-Beaumont,18-64 with Disability,Anglo,Female,500,71,0.142
2018,5-Beaumont,18-64 with Disability,Anglo,Male,413,64,0.155
2018,5-Beaumont,18-64 with Disability,Anglo,Unknown,13,1,0.0769
2018,5-Beaumont,18-64 with Disability,Asian,Male,2,0,0
2018,5-Beaumont,18-64 with Disability,Hispanic,Female,31,4,0.129
2018,5-Beaumont,18-64 with Disability,Hispanic,Male,37,3,0.0811
2018,5-Beaumont,18-64 with Disability,Hispanic,Unknown,4,1,0.25
2018,5-Beaumont,18-64 with Disability,Native American,Female,3,0,0
2018,5-Beaumont,18-64 with Disability,Native American,Male,1,0,0
2018,5-Beaumont,18-64 with Disability,Other,Female,189,41,0.2169
2018,5-Beaumont,18-64 with Disability,Other,Male,107,19,0.1776
2018,5-Beaumont,18-64 with Disability,Other,Unknown,8,1,0.125
2018,5-Beaumont,65 and Older,African American,Female,372,63,0.1694
2018,5-Beaumont,65 and Older,African American,Male,230,31,0.1348
2018,5-Beaumont,65 and Older,African American,Unknown,5,1,0.2
2018,5-Beaumont,65 and Older,Anglo,Female,859,131,0.1525
2018,5-Beaumont,65 and Older,Anglo,Male,560,108,0.1929
2018,5-Beaumont,65 and Older,Anglo,Unknown,18,4,0.2222
2018,5-Beaumont,65 and Older,Asian,Female,4,0,0
2018,5-Beaumont,65 and Older,Asian,Male,1,0,0
2018,5-Beaumont,65 and Older,Hispanic,Female,27,2,0.0741
2018,5-Beaumont,65 and Older,Hispanic,Male,36,7,0.1944
2018,5-Beaumont,65 and Older,Hispanic,Unknown,3,0,0
2018,5-Beaumont,65 and Older,Native American,Female,4,0,0
2018,5-Beaumont,65 and Older,Native American,Male,2,1,0.5
2018,5-Beaumont,65 and Older,Other,Female,251,36,0.1434
2018,5-Beaumont,65 and Older,Other,Male,140,21,0.15
2018,5-Beaumont,65 and Older,Other,Unknown,9,1,0.1111
2018,6-Houston,18-64 with Disability,African American,Female,1397,208,0.1489
2018,6-Houston,18-64 with Disability,African American,Male,1039,146,0.1405
2018,6-Houston,18-64 with Disability,African American,Unknown,21,6,0.2857
2018,6-Houston,18-64 with Disability,Anglo,Female,1319,198,0.1501
2018,6-Houston,18-64 with Disability,Anglo,Male,1151,186,0.1616
2018,6-Houston,18-64 with Disability,Anglo,Unknown,30,5,0.1667
2018,6-Houston,18-64 with Disability,Asian,Female,55,5,0.0909
2018,6-Houston,18-64 with Disability,Asian,Male,50,8,0.16
2018,6-Houston,18-64 with Disability,Asian,Unknown,1,0,0
2018,6-Houston,18-64 with Disability,Hispanic,Female,466,71,0.1524
2018,6-Houston,18-64 with Disability,Hispanic,Male,402,43,0.107
2018,6-Houston,18-64 with Disability,Hispanic,Unknown,13,4,0.3077
2018,6-Houston,18-64 with Disability,Native American,Female,6,1,0.1667
2018,6-Houston,18-64 with Disability,Native American,Male,10,2,0.2
2018,6-Houston,18-64 with Disability,Other,Female,620,125,0.2016
2018,6-Houston,18-64 with Disability,Other,Male,500,88,0.176
2018,6-Houston,18-64 with Disability,Other,Unknown,30,4,0.1333
2018,6-Houston,65 and Older,African American,Female,1826,309,0.1692
2018,6-Houston,65 and Older,African American,Male,1121,170,0.1517
2018,6-Houston,65 and Older,African American,Unknown,43,13,0.3023
2018,6-Houston,65 and Older,Anglo,Female,2851,461,0.1617
2018,6-Houston,65 and Older,Anglo,Male,1815,292,0.1609
2018,6-Houston,65 and Older,Anglo,Unknown,83,18,0.2169
2018,6-Houston,65 and Older,Asian,Female,128,8,0.0625
2018,6-Houston,65 and Older,Asian,Male,84,8,0.0952
2018,6-Houston,65 and Older,Asian,Unknown,2,0,0
2018,6-Houston,65 and Older,Hispanic,Female,838,109,0.1301
2018,6-Houston,65 and Older,Hispanic,Male,531,62,0.1168
2018,6-Houston,65 and Older,Hispanic,Unknown,16,4,0.25
2018,6-Houston,65 and Older,Native American,Female,11,2,0.1818
2018,6-Houston,65 and Older,Native American,Male,5,1,0.2
2018,6-Houston,65 and Older,Native American,Unknown,1,0,0
2018,6-Houston,65 and Older,Other,Female,1258,183,0.1455
2018,6-Houston,65 and Older,Other,Male,740,75,0.1014
2018,6-Houston,65 and Older,Other,Unknown,98,4,0.0408
2018,6-Houston,Under 18,African American,Female,2,0,0
2018,6-Houston,Under 18,Hispanic,Female,1,0,0
2018,6-Houston,Under 18,Hispanic,Male,1,0,0
2018,6-Houston,Under 18,Other,Female,1,0,0
2018,6-Houston,Unknown,Hispanic,Male,1,0,0
2018,6-Houston,Unknown,Other,Male,3,0,0
2018,6-Houston,Unknown,Other,Unknown,2,0,0
2018,7-Austin,18-64 with Disability,African American,Female,463,75,0.162
2018,7-Austin,18-64 with Disability,African American,Male,385,58,0.1506
2018,7-Austin,18-64 with Disability,African American,Unknown,12,3,0.25
2018,7-Austin,18-64 with Disability,Anglo,Female,1116,153,0.1371
2018,7-Austin,18-64 with Disability,Anglo,Male,849,139,0.1637
2018,7-Austin,18-64 with Disability,Anglo,Unknown,19,3,0.1579
2018,7-Austin,18-64 with Disability,Asian,Female,19,2,0.1053
2018,7-Austin,18-64 with Disability,Asian,Male,16,1,0.0625
2018,7-Austin,18-64 with Disability,Hispanic,Female,328,50,0.1524
2018,7-Austin,18-64 with Disability,Hispanic,Male,235,33,0.1404
2018,7-Austin,18-64 with Disability,Hispanic,Unknown,10,2,0.2
2018,7-Austin,18-64 with Disability,Native American,Female,4,1,0.25
2018,7-Austin,18-64 with Disability,Native American,Male,4,2,0.5
2018,7-Austin,18-64 with Disability,Other,Female,349,56,0.1605
2018,7-Austin,18-64 with Disability,Other,Male,226,28,0.1239
2018,7-Austin,18-64 with Disability,Other,Unknown,20,2,0.1
2018,7-Austin,65 and Older,African American,Female,501,96,0.1916
2018,7-Austin,65 and Older,African American,Male,380,67,0.1763
2018,7-Austin,65 and Older,African American,Unknown,13,4,0.3077
2018,7-Austin,65 and Older,Anglo,Female,2129,371,0.1743
2018,7-Austin,65 and Older,Anglo,Male,1427,283,0.1983
2018,7-Austin,65 and Older,Anglo,Unknown,59,15,0.2542
2018,7-Austin,65 and Older,Asian,Female,59,11,0.1864
2018,7-Austin,65 and Older,Asian,Male,16,4,0.25
2018,7-Austin,65 and Older,Asian,Unknown,1,0,0
2018,7-Austin,65 and Older,Hispanic,Female,445,74,0.1663
2018,7-Austin,65 and Older,Hispanic,Male,294,45,0.1531
2018,7-Austin,65 and Older,Hispanic,Unknown,11,0,0
2018,7-Austin,65 and Older,Native American,Female,6,1,0.1667
2018,7-Austin,65 and Older,Native American,Male,3,0,0
