Reported by,Year of Study Release,Population targeted by study,Population specifics,Program type (if any),Recidivism definition,Finding or Recidivism Rate,Other findings,Location 1
Ohio Department of Rehabilitation and Corrections,1997,Felons participating in Ohio Penal Industry program,Felons participating in Ohio Penal Industry program,Job training,Reconviction within 5 years of release,"OPI group recidivated at 54%, comparison group recidivated at 58% : differences not statistically significant",Blacks had higher recidivism rates overall.,Ohio
Ohio Department of Rehabilitation and Corrections,2001,Sex Offenders,Sex Offenders,None,Reconviction for any offense within 10 years,34%,"22.3% for new crime (sex crime and others), 11.7% for technical violation",Ohio
Oklahoma Department of Corrections,2005,Felons,Felons,None,Reconviction within 3 years of release from prison,27.80%,"Under 20 years old recidivated at 43%, those above 50 recidivated at 9.6%, Black males more likely to recidivate than white males, The most recent survival analyses of institutional treatment programs find that completers of all Oklahoma DOC programs have lower return rates after at least 36 months than program non-participants. Adult Basic Education has proven to be Oklahoma's most successful program. The Level of Service Inventory- Revised (LSI-R) at reception, ranks offenders as low, medium, or high in terms of risk levels for further offending and needs for services to prevent future recidivism. Survival analysis of those offenders released in FY 2004 found that 36 months later, 7% of low LSI-R offenders had returned to DO 32% of medium LSI-R offenders, and 70% of high LSI-R offenders.",Oklahoma
Oklahoma Department of Corrections,2009,Felons,606 offenders,GPS Supervision,Reincarceration within 3 years,"Low risk offenders had the lowest recidivism rate (11%), while high risk offenders returned to prison at a higher rate (14%).",Low risk and high risk offenders did better if released to probation and parole instead of immediate discharge from ODOC,Oklahoma
Oregon Department of Corrections,2007,Felons,Felons,None,Reconviction of new felony within 3 years of release from prison,31.30%,,Oregon
Oregon Department of Corrections Research and Statistics,2009,Felons,Felons,None,Reconviction of any felony within 3 years of release from prison,Paroled offender 2005 cohort: 29.3%; Probation 2005 cohort: 24.2%,,Oregon
Pennsylvania Department of Corrections ,2006,Felons,Felons,None,Return to custody of a Pennsylvania state correctional institution for any reason,"At three years post release in 1999, the recidivism rate was 43.6. In 2002 the 3 year recidivism rate was 46.3%. At one year post release in 2004, the recidivism rate was 25.9%",,Pennsylvania
Pennsylvania Department of Corrections ,2009,Recently released offenders,772 COR Completers; 538 Control Group,Community Orientation and Reintegration (COR) program,"Overall recidivism: rearrest, reconviction, or reimprisonment following release from prison in 2001 or 2002",COR completers had a slightly higher overall recidivism rate (71%) compared to the control group (70.1%),Both groups had rearrest and reconviction rates lower than national rates. Racial composition of study population: 53.4% African Americans comprised COR completers and 55.2% of the control group. Whites accounted for 35.5% of COR completers and 31.8% of the control group. And Hispanics made up 10.9% of the COR completers and 12.5% of the control group.,Pennsylvania
Wyoming Corrections Department,2006,Felons,Felons,None,Convicted by the courts and sentenced on more than one occasion ,36%,,Wyoming
South Carolina Department of Corrections,2003,Felons,Felons,None,Reconviction within 3 years of release from prison,32.70%,"Those on probation had highest recidivism rate at 43.7% Under 25 had the highest age group recidivism rate at 44.2%, some work programs had a minimal impact on recidivism, with the best program being Labor Crew with a rate of 27.2%",South Carolina
South Carolina Department of Corrections,2007,Sex Offenders,300 sex offenders released in 2001,None,Rearrested and reconvicted within 3 years,"43% rearrested for any type of crime, 22.3% reconvicted and reincarcerated","From the number of sex offenders released from prison in 2001, blacks made up 50% of those rearrested within 3 years, white 37.3%, and  25% other racial/ethnic groups. Young offenders between the ages of 18-29 were more likely to reoffend within 3 years",South Carolina
Corrections Commission,2006,Juveniles,Juveniles in Adult Corrections,STAR Academy Program,Reconviction within 3 years of release from prison,14.40%,,South Dakota
Tennessee Bureau of Investigation Crime Statistics Unit,2007,Felons,557 sex offenders; 559 comparison group,None,Reconviction within 3 years of release from prison,"Sex Offenders: 55.9%, Other Offenders (comparison group): 77.8%","Of general offenders, the most frequent recommitment was for a technical violation (18.2%); No statistically significant differences between race of recidivists.",Tennessee
Texas Legislative Budget Board,2005,Felons,Felons,None,Reconviction within 3 years of release from prison,28.30%,"48% of recidivists were African American, property and drug offenses make up over 60% combined of recidivist crimes, annually parole violators make up 25% of prison admissions.",Texas
Texas Legislative Budget Board,2005,Juveniles,Juveniles,None,Reincarceration for any offense in 3 year period of release,52.20%,,Texas
Utah Department of Corrections,1995,Felons,Felons,Project Horizon Educational Program,Parole violation or reincarceration within 2 years and 7 months,"Participants had recidivism rate of 65%, non-participants 82%","12% recidivated more than once (returning to prison repeatedly), compared to 31.5% of control group recidivating more than once.",Utah
Vermont Department of Corrections,2007,Felons,Felons,None,Offense occurring within 3 year period of release,50%,,Vermont
Vermont Department of Corrections,2008,Felons,Felons,None,Offense occurring within 3 year period of release,50% for persons released in 2004 and 60% for persons released in 1994,,Vermont
Virginia Juvenile Justice,2005,Juveniles,Juveniles,None,"Rearrest, Reconviction, and reincarceration after 12 months of release","Releases from juvenile correction centers: 49.4% rearrested, 37.6% reconvicted, and 17.2% reincarcerated. Probation placements: 34.8% rearrested and 24.8% reconvicted; reincarceration data not applicable","Black juveniles had higher reoffense rates than white juveniles, those who were released at age 15 had highest rearrest rates, those who participated youth industries program and Virginia Wilderness Institute had lower recidivism rates than those who did not",Virginia
Virginia Department of Corrections,2005,Adult ,"8,997 offenders released in 1999",None,Returned to prison for a new crime or technical parole violation within 3 years of release,29% (28% for technical violations and 72% for a new offense),The total recidivism rate was higher in the first two years of being released (2000 & 2001); 29% of those who recidivated came back in 2000 and 26% came back in 2001; 72% of persons were returned for the same type of crime for which they were originally incarcerated,Virginia
Sentencing Guidelines Commission,2004,Felons,Felons,None,"Reconviction, length of time not factored into study","65% of males, 50% of females",54.6% of those 15-24 recidivated and 65.6% of those 25-34; 73% of African American men recidivated compared to 65% of Caucasian men and 51% of Hispanic men.  Property and drug offenses were the most common re-offense type.,Washington
Sentencing Guidelines Commission,2005,Juveniles,"13,127 juveniles",None,Any disposition (sentence) in which the offender's juvenile history contains a disposition (sentence); length of time between convictions not factored into report because database used does not contain data relating to dates of release from confinement,77% rate for boys and 72% rate for girls,"African Americans accounted for 3.9% of the Washington population, but accounted for 13.1% of all juvenile dispositions and had a recidivism rate of 78.1%. Recidivism rate of Hispanics, 82.3%, was highest of all racial groups with Caucasian rate at 75.1% and Asian/Pacific Islanders at 65.1%",Washington
West Virginia Division of Corrections,2007,Felons,"1, 254 Felons released in 2003",None,Return to the custody of the Division of Corrections within a measured amount of time after release; within 3 years for this study,26.40%,Those on parole release (37%) had higher recidivism rates than those discharged (9.5%) or released by court order (26.1%); 25-29 year olds had the highest rate of recidivism by age group followed by 18-24 year olds.,West Virginia
Wisconsin Sentencing Commission,2006,Felons,Felons,None,Reconviction in a 23 year period,36% between 1980-2003,"American Indians most likely to recidivate (45%) followed by black (43%), Hispanic (37%), white (33%) and Asian/Pacific Islander (24%) offenders. American Indian and black offenders made up 3% and 22% of the offender group, but recidivate at the highest rates.",Wisconsin
Wyoming Corrections Department,2009,Felons,Felons,None,Reconviction or revocation within 3 years of release from prison or supervision,Released from prison: 10.3%; released from probation: 44.6%  and parole: 33.1%,,Wyoming
